date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2019-05-29,3.76,0.9997284,0.9993357,0.00082064414,0.99490535,0.0015064161
2019-05-30,3.63,0.99993145,0.9998274,0.0013200288,0.9997017,0.9950106
2019-05-31,3.63,0.9997713,0.9990957,0.0036997753,0.99984634,0.011569087
2019-06-03,3.63,0.99994147,0.99972814,0.9948868,0.99994016,0.9971192
2019-06-04,3.57,0.99990845,0.9992612,0.99919766,0.9995203,0.9964259
2019-06-05,3.45,0.9999577,0.9984486,0.99985576,0.99975234,0.9989317
2019-06-06,3.51,0.99994504,0.9990969,0.9989974,0.999577,0.99755716
2019-06-07,3.51,0.99996996,0.999895,0.99873465,0.9994899,0.99926907
2019-06-10,3.7,0.99998415,0.9995958,0.9986432,0.9979144,0.9924913
2019-06-11,3.76,0.99995923,0.997894,0.9974624,0.0044786963,0.00860822
2019-06-12,3.82,0.9999236,0.9990983,0.99476224,0.0021510802,0.0029542868
2019-06-13,3.94,0.99973255,0.9956772,0.0047906344,0.0023059885,0.001784512
2019-06-14,3.88,0.99994683,0.99740523,0.0005229361,0.0024713462,0.005544322
2019-06-17,3.82,0.99979764,0.9995105,0.0013038035,0.0008072939,0.0081274565
2019-06-18,3.82,0.99948764,0.99950004,0.00078482676,0.00032842142,0.00933631
2019-06-19,3.88,0.99954224,0.99640733,0.0045956997,0.0018835167,0.999223
2019-06-20,3.88,0.999866,0.9911067,0.00030588097,0.0030923572,0.9975938
2019-06-21,3.76,0.9998605,0.99825126,0.0065587945,0.99859506,0.99995553
2019-06-24,3.82,0.999869,0.99799347,0.0015325244,0.0023481539,0.9983535
2019-06-25,3.7,0.99991477,0.9985551,0.99840754,0.9976712,0.9987903
2019-06-26,3.63,0.99981123,0.9979038,0.9985538,0.9981054,0.9997366
2019-06-27,3.7,0.9996464,0.99556535,0.99846727,0.003188669,0.99987423
2019-06-28,3.63,0.9998141,0.99960583,0.9974891,0.996212,0.9995272
2019-07-01,3.7,0.9997669,0.9976648,0.9964234,0.995854,0.99933916
2019-07-02,3.82,0.99981874,0.99647444,0.0047542704,0.0039538443,0.997566
2019-07-03,3.76,0.9999013,0.99766636,0.0018118444,0.99952114,0.9982498
2019-07-04,3.88,0.9998838,0.98961127,0.0020114828,0.99484515,0.99685585
2019-07-05,3.82,0.9999486,0.9992417,0.0020759462,0.999663,0.9994123
2019-07-08,3.76,0.9999,0.9995757,9.806657e-05,0.9992988,0.99814165
2019-07-09,3.76,0.9998895,0.9972223,0.0033027723,0.9988642,0.9997986
2019-07-10,3.76,0.99971,0.9946443,0.993983,0.99970967,0.99983525
2019-07-11,3.7,0.999841,0.99700814,0.9996985,0.9998894,0.99978346
2019-07-12,3.76,0.999764,0.9946696,0.9984855,0.99998677,0.9996823
2019-07-15,3.76,0.99975055,0.9892397,0.9992262,0.99984217,0.99934644
2019-07-16,3.76,0.99966764,0.021085072,0.9988023,0.9993303,0.99738055
2019-07-17,4.31,0.9993486,0.0075044706,0.9995759,0.0041675484,0.99724364
2019-07-18,4.31,0.99329454,0.0025139553,0.99825436,0.0066105183,0.010126071
2019-07-19,4.31,0.99862874,0.0026024736,0.99957496,0.9950335,0.9927019
2019-07-22,4.25,0.99569595,0.008153391,0.9976221,0.9985588,0.9989747
2019-07-23,4.31,0.97900945,0.008388747,0.9940837,0.9959449,0.9986755
2019-07-24,4.44,0.0237851,0.0032804327,0.0011581194,0.005458796,0.9989272
2019-07-25,4.81,0.0448477,0.0008343307,0.002167331,0.0027480233,0.99706906
2019-07-26,4.62,0.91162366,0.00023308028,0.002887503,0.0010995588,0.9989563
2019-07-29,4.68,0.020088771,0.00013638508,0.0007167957,0.0006595697,0.99250424
2019-07-30,4.37,0.9692861,0.00089735514,0.9985197,0.0063843844,0.99969816
2019-07-31,4.31,0.9981018,0.0015031948,0.99230415,0.9935922,0.99972266
2019-08-01,4.31,0.99691737,0.001971038,0.008545422,0.010056721,0.9998841
2019-08-02,4.5,0.99364203,0.00047374974,0.00199031,0.99031305,0.9996132
2019-08-05,4.5,0.99762887,0.00082945125,0.0024933384,0.99749833,0.99665475
2019-08-06,4.44,0.9993679,0.0007603558,0.0005668871,0.9989116,0.99834514
2019-08-07,4.44,0.9928063,0.000828308,0.0025441162,0.9950069,0.99651474
2019-08-08,4.25,0.9983277,0.0009983311,0.99934214,0.99822503,0.9972294
2019-08-09,4.31,0.9941151,0.0007869097,0.99943644,0.9985176,0.99241066
2019-08-12,4.44,0.9934378,0.0019713196,0.99813807,0.99769163,0.0075472374
2019-08-13,4.37,0.99861526,0.0016374135,0.99858814,0.9994893,0.01260904
2019-08-14,4.37,0.9977659,0.0007759772,0.99908495,0.99722314,0.006223026
2019-08-15,4.31,0.999186,0.004424871,0.99855787,0.99870956,0.9909004
2019-08-16,4.87,0.028564561,0.0014664255,0.99745625,0.0036110806,0.004006853
2019-08-19,5.42,0.0103937425,0.0046705995,0.0010219335,0.0030273441,0.00023025149
2019-08-20,5.73,0.005938403,0.002149935,0.00028572572,0.00013992745,8.474774e-05
2019-08-21,5.24,0.01891178,0.00045287007,6.430231e-05,0.001043719,0.0007343233
2019-08-22,5.17,0.0099903075,0.00073754275,0.0025425726,0.00019131489,0.00037871877
2019-08-23,5.36,0.008184751,0.00043287734,0.0006357321,0.0007821386,0.0016124516
2019-08-26,5.11,0.009964934,0.0014439037,0.00019310691,8.7845445e-05,0.000145083
2019-08-27,4.99,0.028531037,0.0009334036,0.00039074334,7.337012e-05,0.00043562392
2019-08-28,4.74,0.98355454,0.00057231577,0.0020059538,0.0006365636,0.0014458066
2019-08-29,4.68,0.98857003,0.0012846311,0.0005501633,0.00023385917,0.0015196321
2019-08-30,4.87,0.9895481,0.0008084017,0.0001835576,5.9196296e-05,0.0001474298
2019-09-03,4.68,0.99751955,0.00397417,0.0002850773,3.981779e-05,0.00014059375
2019-09-04,4.56,0.9959895,0.0012876372,0.0008859965,0.00024202322,0.00012007464
2019-09-05,4.62,0.997623,0.0024558813,1.3079747e-05,1.3995727e-05,0.00031062798
