date,equity
2016-07-14,100000000.0
2017-04-10,99646512.0
2017-05-22,99719671.0
2017-06-07,99588458.0
2018-03-15,98786051.0
2018-10-19,98496618.0
2019-01-02,98122585.0
2019-10-03,98681660.0
2019-12-24,98657696.0
2020-01-31,98399495.0
2020-06-19,98541295.0
2020-07-10,98499358.0
2021-05-06,105424589.0
2021-10-01,105419349.0
2022-06-24,104953428.0
2023-04-06,103754987.0
2023-05-24,103551975.0
2024-02-19,104081663.0
2024-04-05,104018673.0
2025-01-17,103948559.0
2025-02-03,103904382.0
2025-12-22,105290884.0
