date,equity
2016-09-14,100000000.0
2016-10-17,99671909.0
2016-11-03,99325947.0
2017-08-21,99194980.0
2018-04-23,100498362.0
2019-03-18,100332972.0
2020-06-29,99777067.0
2020-10-28,99481679.0
2021-01-20,99207915.0
2021-01-26,98965885.0
2021-01-28,98667134.0
2022-01-10,98424997.0
2022-04-12,98129499.0
2022-05-12,97371948.0
2023-08-18,97118338.0
2024-03-05,97317401.0
2024-03-14,97262261.0
2024-03-20,97262052.0
2024-07-23,97148415.0
2024-11-18,97074781.0
2025-01-03,96834612.0
2025-01-07,96834934.0
2025-04-03,96247345.0
2025-09-22,96168085.0
